"Statistic Label","Quarter","Sex","UNIT","VALUE"
"Population","1960Q1","Both sexes","Number",""
"Population","1960Q1","Male","Number",""
"Population","1960Q1","Female","Number",""
"Population","1960Q2","Both sexes","Number","2832000"
"Population","1960Q2","Male","Number","1427000"
"Population","1960Q2","Female","Number","1405000"
"Population","1960Q3","Both sexes","Number",""
"Population","1960Q3","Male","Number",""
"Population","1960Q3","Female","Number",""
"Population","1960Q4","Both sexes","Number",""
"Population","1960Q4","Male","Number",""
"Population","1960Q4","Female","Number",""
"Population","1961Q1","Both sexes","Number",""
"Population","1961Q1","Male","Number",""
"Population","1961Q1","Female","Number",""
"Population","1961Q2","Both sexes","Number","2819000"
"Population","1961Q2","Male","Number","1417000"
"Population","1961Q2","Female","Number","1402000"
"Population","1961Q3","Both sexes","Number",""
"Population","1961Q3","Male","Number",""
"Population","1961Q3","Female","Number",""
"Population","1961Q4","Both sexes","Number",""
"Population","1961Q4","Male","Number",""
"Population","1961Q4","Female","Number",""
"Population","1962Q1","Both sexes","Number",""
"Population","1962Q1","Male","Number",""
"Population","1962Q1","Female","Number",""
"Population","1962Q2","Both sexes","Number","2830000"
"Population","1962Q2","Male","Number","1423000"
"Population","1962Q2","Female","Number","1407000"
"Population","1962Q3","Both sexes","Number",""
"Population","1962Q3","Male","Number",""
"Population","1962Q3","Female","Number",""
"Population","1962Q4","Both sexes","Number",""
"Population","1962Q4","Male","Number",""
"Population","1962Q4","Female","Number",""
"Population","1963Q1","Both sexes","Number",""
"Population","1963Q1","Male","Number",""
"Population","1963Q1","Female","Number",""
"Population","1963Q2","Both sexes","Number","2850000"
"Population","1963Q2","Male","Number","1433000"
"Population","1963Q2","Female","Number","1417000"
"Population","1963Q3","Both sexes","Number",""
"Population","1963Q3","Male","Number",""
"Population","1963Q3","Female","Number",""
"Population","1963Q4","Both sexes","Number",""
"Population","1963Q4","Male","Number",""
"Population","1963Q4","Female","Number",""
"Population","1964Q1","Both sexes","Number",""
"Population","1964Q1","Male","Number",""
"Population","1964Q1","Female","Number",""
"Population","1964Q2","Both sexes","Number","2864000"
"Population","1964Q2","Male","Number","1440000"
"Population","1964Q2","Female","Number","1424000"
"Population","1964Q3","Both sexes","Number",""
"Population","1964Q3","Male","Number",""
"Population","1964Q3","Female","Number",""
"Population","1964Q4","Both sexes","Number",""
"Population","1964Q4","Male","Number",""
"Population","1964Q4","Female","Number",""
"Population","1965Q1","Both sexes","Number",""
"Population","1965Q1","Male","Number",""
"Population","1965Q1","Female","Number",""
"Population","1965Q2","Both sexes","Number","2876000"
"Population","1965Q2","Male","Number","1446000"
"Population","1965Q2","Female","Number","1430000"
"Population","1965Q3","Both sexes","Number",""
"Population","1965Q3","Male","Number",""
"Population","1965Q3","Female","Number",""
"Population","1965Q4","Both sexes","Number",""
"Population","1965Q4","Male","Number",""
"Population","1965Q4","Female","Number",""
"Population","1966Q1","Both sexes","Number",""
"Population","1966Q1","Male","Number",""
"Population","1966Q1","Female","Number",""
"Population","1966Q2","Both sexes","Number","2884000"
"Population","1966Q2","Male","Number","1449000"
"Population","1966Q2","Female","Number","1435000"
"Population","1966Q3","Both sexes","Number",""
"Population","1966Q3","Male","Number",""
"Population","1966Q3","Female","Number",""
"Population","1966Q4","Both sexes","Number",""
"Population","1966Q4","Male","Number",""
"Population","1966Q4","Female","Number",""
"Population","1967Q1","Both sexes","Number",""
"Population","1967Q1","Male","Number",""
"Population","1967Q1","Female","Number",""
"Population","1967Q2","Both sexes","Number","2900000"
"Population","1967Q2","Male","Number","1457000"
"Population","1967Q2","Female","Number","1443000"
"Population","1967Q3","Both sexes","Number",""
"Population","1967Q3","Male","Number",""
"Population","1967Q3","Female","Number",""
"Population","1967Q4","Both sexes","Number",""
"Population","1967Q4","Male","Number",""
"Population","1967Q4","Female","Number",""
"Population","1968Q1","Both sexes","Number",""
"Population","1968Q1","Male","Number",""
"Population","1968Q1","Female","Number",""
"Population","1968Q2","Both sexes","Number","2913000"
"Population","1968Q2","Male","Number","1464000"
"Population","1968Q2","Female","Number","1449000"
"Population","1968Q3","Both sexes","Number",""
"Population","1968Q3","Male","Number",""
"Population","1968Q3","Female","Number",""
"Population","1968Q4","Both sexes","Number",""
"Population","1968Q4","Male","Number",""
"Population","1968Q4","Female","Number",""
"Population","1969Q1","Both sexes","Number",""
"Population","1969Q1","Male","Number",""
"Population","1969Q1","Female","Number",""
"Population","1969Q2","Both sexes","Number","2925000"
"Population","1969Q2","Male","Number","1470000"
"Population","1969Q2","Female","Number","1455000"
"Population","1969Q3","Both sexes","Number",""
"Population","1969Q3","Male","Number",""
"Population","1969Q3","Female","Number",""
"Population","1969Q4","Both sexes","Number",""
"Population","1969Q4","Male","Number",""
"Population","1969Q4","Female","Number",""
"Population","1970Q1","Both sexes","Number",""
"Population","1970Q1","Male","Number",""
"Population","1970Q1","Female","Number",""
"Population","1970Q2","Both sexes","Number","2950000"
"Population","1970Q2","Male","Number","1482000"
"Population","1970Q2","Female","Number","1468000"
"Population","1970Q3","Both sexes","Number",""
"Population","1970Q3","Male","Number",""
"Population","1970Q3","Female","Number",""
"Population","1970Q4","Both sexes","Number",""
"Population","1970Q4","Male","Number",""
"Population","1970Q4","Female","Number",""
"Population","1971Q1","Both sexes","Number",""
"Population","1971Q1","Male","Number",""
"Population","1971Q1","Female","Number",""
"Population","1971Q2","Both sexes","Number","2978000"
"Population","1971Q2","Male","Number","1496000"
"Population","1971Q2","Female","Number","1482000"
"Population","1971Q3","Both sexes","Number",""
"Population","1971Q3","Male","Number",""
"Population","1971Q3","Female","Number",""
"Population","1971Q4","Both sexes","Number",""
"Population","1971Q4","Male","Number",""
"Population","1971Q4","Female","Number",""
"Population","1972Q1","Both sexes","Number",""
"Population","1972Q1","Male","Number",""
"Population","1972Q1","Female","Number",""
"Population","1972Q2","Both sexes","Number","3024000"
"Population","1972Q2","Male","Number","1519000"
"Population","1972Q2","Female","Number","1505000"
"Population","1972Q3","Both sexes","Number",""
